iter	Passed	Remaining
0	178	89304
1	207	51591
2	235	38943
3	261	32440
4	288	28576
5	315	26007
6	342	24114
7	371	22859
8	400	21844
9	407	19964
10	435	19348
11	460	18738
12	487	18247
13	510	17719
14	535	17306
15	557	16872
16	580	16502
17	603	16163
18	626	15869
19	650	15603
20	674	15382
21	698	15174
22	721	14956
23	745	14785
24	769	14614
25	791	14432
26	814	14277
27	837	14117
28	861	13995
29	885	13867
30	908	13739
31	931	13620
32	955	13528
33	978	13409
34	1001	13306
35	1024	13208
36	1047	13108
37	1070	13010
38	1093	12921
39	1116	12838
40	1140	12765
41	1165	12708
42	1190	12656
43	1215	12594
44	1240	12539
45	1263	12473
46	1290	12441
47	1316	12394
48	1341	12344
49	1366	12296
50	1392	12255
51	1416	12204
52	1440	12148
53	1463	12090
54	1488	12041
55	1512	11988
56	1535	11937
57	1558	11877
58	1582	11830
59	1607	11791
60	1631	11741
61	1655	11698
62	1678	11645
63	1704	11608
64	1727	11560
65	1750	11511
66	1773	11461
67	1796	11414
68	1819	11364
69	1842	11318
70	1867	11281
71	1891	11242
72	1915	11202
73	1939	11166
74	1963	11128
75	1986	11084
76	2010	11044
77	2034	11008
78	2058	10968
79	2082	10932
80	2105	10892
81	2128	10848
82	2150	10806
83	2174	10766
84	2197	10728
85	2219	10685
86	2242	10644
87	2265	10608
88	2289	10572
89	2312	10535
90	2335	10498
91	2360	10466
92	2384	10437
93	2412	10418
94	2438	10394
95	2465	10373
96	2491	10353
97	2519	10334
98	2546	10315
99	2575	10300
100	2602	10279
101	2628	10256
102	2657	10243
103	2685	10225
104	2712	10205
105	2740	10185
106	2766	10160
107	2790	10129
108	2817	10105
109	2841	10075
110	2868	10052
111	2893	10024
112	2919	9997
113	2944	9969
114	2974	9957
115	2999	9930
116	3024	9902
117	3049	9873
118	3074	9842
119	3100	9819
120	3126	9792
121	3151	9764
122	3177	9740
123	3202	9710
124	3227	9683
125	3253	9657
126	3278	9629
127	3304	9602
128	3329	9574
129	3354	9547
130	3379	9520
131	3405	9493
132	3430	9466
133	3459	9449
134	3488	9431
135	3515	9409
136	3541	9383
137	3566	9356
138	3592	9329
139	3618	9305
140	3643	9275
141	3666	9242
142	3689	9211
143	3713	9180
144	3738	9152
145	3766	9132
146	3791	9104
147	3814	9072
148	3839	9045
149	3864	9016
150	3889	8988
151	3911	8955
152	3935	8926
153	3958	8892
154	3982	8863
155	4006	8835
156	4029	8803
157	4054	8775
158	4076	8743
159	4100	8712
160	4124	8683
161	4147	8652
162	4170	8622
163	4194	8593
164	4218	8564
165	4241	8534
166	4264	8504
167	4287	8473
168	4312	8446
169	4338	8420
170	4364	8396
171	4390	8371
172	4417	8349
173	4444	8326
174	4470	8302
175	4496	8277
176	4523	8253
177	4548	8227
178	4573	8202
179	4599	8177
180	4628	8157
181	4654	8132
182	4680	8107
183	4705	8080
184	4730	8054
185	4759	8034
186	4794	8024
187	4822	8004
188	4849	7979
189	4876	7956
190	4904	7934
191	4931	7910
192	4956	7883
193	4982	7858
194	5009	7835
195	5035	7810
196	5061	7784
197	5086	7757
198	5113	7733
199	5138	7708
200	5165	7683
201	5190	7657
202	5216	7631
203	5243	7607
204	5269	7582
205	5295	7558
206	5322	7534
207	5349	7509
208	5377	7487
209	5403	7461
210	5427	7433
211	5431	7378
212	5455	7350
213	5477	7320
214	5500	7291
215	5523	7262
216	5547	7234
217	5570	7206
218	5593	7177
219	5616	7147
220	5640	7120
221	5663	7092
222	5686	7064
223	5710	7035
224	5734	7008
225	5746	6967
226	5772	6941
227	5799	6918
228	5806	6871
229	5830	6844
230	5855	6818
231	5880	6792
232	5904	6766
233	5909	6717
234	5933	6691
235	5957	6664
236	5981	6637
237	6004	6609
238	6028	6583
239	6052	6556
240	6076	6530
241	6099	6502
242	6123	6476
243	6148	6451
244	6171	6423
245	6195	6396
246	6220	6371
247	6245	6346
248	6272	6322
249	6298	6298
250	6324	6274
251	6350	6249
252	6377	6225
253	6402	6200
254	6428	6176
255	6454	6152
256	6479	6126
257	6505	6101
258	6532	6078
259	6559	6054
260	6584	6029
261	6610	6004
262	6636	5980
263	6660	5954
264	6685	5928
265	6712	5904
266	6736	5879
267	6762	5853
268	6789	5830
269	6816	5806
270	6843	5782
271	6869	5757
272	6897	5735
273	6924	5711
274	6952	5688
275	6978	5663
276	7005	5639
277	7032	5615
278	7057	5590
279	7083	5565
280	7108	5540
281	7133	5514
282	7159	5489
283	7184	5464
284	7209	5439
285	7237	5415
286	7263	5390
287	7289	5365
288	7315	5340
289	7342	5317
290	7367	5291
291	7393	5266
292	7418	5240
293	7442	5215
294	7467	5189
295	7492	5163
296	7517	5138
297	7540	5111
298	7563	5084
299	7586	5057
300	7609	5030
301	7635	5005
302	7658	4979
303	7682	4953
304	7705	4926
305	7729	4900
306	7752	4873
307	7775	4847
308	7798	4820
309	7822	4794
310	7851	4771
311	7875	4745
312	7898	4719
313	7925	4694
314	7948	4668
315	7973	4642
316	7996	4616
317	8020	4590
318	8044	4564
319	8069	4539
320	8094	4513
321	8119	4488
322	8143	4462
323	8168	4437
324	8194	4412
325	8220	4387
326	8247	4363
327	8274	4338
328	8301	4314
329	8327	4290
330	8354	4265
331	8382	4241
332	8407	4216
333	8432	4191
334	8459	4166
335	8485	4141
336	8512	4117
337	8538	4092
338	8566	4068
339	8594	4044
340	8620	4019
341	8645	3994
342	8671	3969
343	8698	3944
344	8724	3919
345	8750	3894
346	8775	3869
347	8802	3844
348	8827	3819
349	8858	3796
350	8884	3771
351	8909	3746
352	8936	3721
353	8962	3696
354	8987	3671
355	9013	3645
356	9038	3620
357	9066	3596
358	9092	3571
359	9120	3546
360	9149	3523
361	9178	3498
362	9205	3474
363	9230	3448
364	9258	3424
365	9283	3398
366	9308	3373
367	9331	3347
368	9354	3321
369	9378	3295
370	9402	3269
371	9425	3243
372	9450	3217
373	9472	3191
374	9497	3165
375	9522	3140
376	9545	3114
377	9568	3088
378	9591	3062
379	9615	3036
380	9638	3010
381	9662	2984
382	9686	2959
383	9710	2933
384	9736	2908
385	9762	2883
386	9787	2857
387	9812	2832
388	9837	2807
389	9862	2781
390	9886	2756
391	9910	2730
392	9935	2704
393	9960	2679
394	9983	2653
395	10005	2627
396	10028	2601
397	10051	2576
398	10075	2550
399	10101	2525
400	10125	2499
401	10151	2474
402	10178	2449
403	10203	2424
404	10229	2399
405	10256	2374
406	10282	2349
407	10306	2323
408	10331	2298
409	10358	2273
410	10386	2249
411	10412	2224
412	10439	2199
413	10466	2174
414	10493	2149
415	10520	2124
416	10546	2099
417	10573	2074
418	10598	2048
419	10624	2023
420	10650	1998
421	10676	1973
422	10702	1948
423	10728	1923
424	10755	1898
425	10781	1872
426	10808	1847
427	10833	1822
428	10858	1797
429	10885	1772
430	10914	1747
431	10938	1721
432	10962	1696
433	10988	1671
434	11014	1645
435	11041	1620
436	11065	1595
437	11092	1570
438	11119	1545
439	11146	1520
440	11172	1494
441	11197	1469
442	11224	1444
443	11250	1419
444	11278	1393
445	11303	1368
446	11329	1343
447	11354	1317
448	11377	1292
449	11401	1266
450	11425	1241
451	11448	1215
452	11471	1190
453	11496	1164
454	11520	1139
455	11544	1113
456	11567	1088
457	11592	1063
458	11615	1037
459	11637	1011
460	11660	986
461	11684	961
462	11707	935
463	11731	910
464	11756	884
465	11779	859
466	11802	833
467	11825	808
468	11849	783
469	11872	757
470	11896	732
471	11921	707
472	11945	681
473	11968	656
474	11992	631
475	12015	605
476	12040	580
477	12065	555
478	12091	530
479	12116	504
480	12141	479
481	12168	454
482	12197	429
483	12227	404
484	12255	379
485	12286	353
486	12313	328
487	12340	303
488	12370	278
489	12398	253
490	12425	227
491	12452	202
492	12478	177
493	12505	151
494	12530	126
495	12555	101
496	12580	75
497	12607	50
498	12633	25
499	12659	0
