,total_freight,category_demand_mean,category_demand_std,demand,unique_orders,category_demand_median,demand_momentum_3m,unique_products,demand_std_3,seller_concentration,demand_vs_category_avg,category_demand_max,unique_sellers,sales_momentum_3m,demand_std_6,price_min,demand_lag_1,price_std_3,price_growth_1m,demand_acceleration,sales_growth_1m,demand_std_12,items_per_order,price_max,sales_lag_1,demand_lag_3,avg_freight,demand_lag_2,unique_customers,demand_trend_3m,price_std_6,demand_volatility_6m,price_to_freight_ratio,product_diversity_index,total_sales,price_std_12,demand_growth_3m,month_cos,price_vs_category_avg,month_num,price_lag_3,price_volatility_6m,demand_min_3,ma_2,demand_momentum_12m,demand_growth_1m,ma_6,ma_12,price_lag_2,sales_lag_3,avg_items_per_product,price_lag_1,ema_0.3,category_avg_price_std,price_std,sales_lag_6,price_lag_6,avg_price,demand_max_3,sales_ma_6,sales_lag_2,demand_lag_6,ema_0.7,sales_ma_3,demand_min_6,sales_ma_12,sales_ma_2,price_ma_12,sales_per_order,ema_0.5,freight_to_sales_ratio,ma_3,demand_max_6,price_ma_6,price_ma_2,demand_min_12,month_sin,sales_lag_12,price_ma_3,conversion_rate,price_lag_12,demand_lag_12,is_october,avg_order_value,demand_growth_12m,seasonal_difference_12m,quarter_cos,category_avg_price_mean,profit_margin_estimate,customer_loyalty_index,seasonal_ratio_12m,demand_max_12,is_end_quarter,quarter,year,is_november,is_may,quarter_sin,is_august,demand_next_month
total_freight,1.0,0.8148404103914486,0.7982264038822137,0.9843939346049778,0.9768922679035935,0.8071884800149896,0.41934428479451574,0.9608309231647533,0.7348590020319301,0.5840812510135338,0.2965370699432879,0.8014163213744081,0.8931196506444844,0.37540554369200435,0.8317303164801783,-0.1268095804891856,0.932539322317504,-0.14107890048981306,-0.07057267390036931,0.004129301490462551,-0.054703197467845965,0.9089957797041747,0.30021798479518785,0.4365581919584305,0.8828022805417636,0.8913450224965752,-0.02537939895252973,0.9222394842415869,0.9768922679035935,0.4193442847945159,-0.15457128476085777,-0.015483505414755811,-0.027755918059986392,-0.15321405786026357,0.9302682175931223,-0.14185741055399206,0.01582022464348699,-0.019049403804211308,-0.018733124046058466,0.013480050116236307,0.009702967088598956,-0.16743311843727873,0.9222730197131831,0.9416569130036553,0.7416436321985711,-0.05943625878074704,0.9264140403673624,0.9207977069697555,-0.007845043079917211,0.8488044160553421,0.3916499511946328,-0.037761863329817125,0.939050573500833,-0.2032412808879144,0.06403184481347741,0.7937903372897557,0.05179074410169199,-0.06735296588009801,0.9282138493694683,0.8881591252804173,0.8742543638260248,0.8327764789114388,0.9409973871582876,0.8927366426786679,0.8822791409003538,0.8813635493556816,0.894315851899136,-0.03295262925916476,-0.00868827600228862,0.9420001687977752,-0.11812724917168482,0.9370700212738209,0.9174225805442486,-0.038752708547563075,-0.039165150851838845,0.700760009177949,0.012920376684508746,0.6311859689450627,-0.03951290814555907,0.43436555596755066,0.17386668965015775,0.6612667091876498,-0.055999646080442,-0.00868827600228862,0.1825178398068903,0.7416436321985711,-0.007473449581444132,-0.07142810035368635,0.11812724918732537,0.43436555596755066,0.18926315533431756,0.9140718426220422,0.010100240795701224,0.008224574104313861,0.18856993519387433,0.06573148703619935,0.014248034644174234,-0.007714813505203096,-0.021943475172411187,0.9287736163589448
category_demand_mean,0.8148404103914486,1.0,0.9849670656583731,0.8317621452039107,0.8258340362469622,0.9932051244691853,0.34693490640559316,0.8427398965468134,0.6674662107314453,0.510764836208223,0.0023921306558855725,0.9823043873652334,0.7815820735453782,0.3066638708717417,0.7708844585085852,-0.14330212315762864,0.7988974252143966,-0.16863233125928676,-0.07609532893359182,-0.05180319867276849,-0.018292523865270516,0.8286431797276759,0.2925680164044053,0.4163740354682088,0.7429168491016627,0.7340864795714123,-0.1241411884274597,0.766377909498068,0.8258340362469622,0.34693490640559316,-0.18167396680623654,-0.1317726107822419,-0.0244268876274758,-0.05096464452332596,0.7728207747487528,-0.17775602423485734,0.0784538096482675,0.021782400537961516,0.001905326591147402,0.00025516886000979185,-0.057206441003931054,-0.24689488001517634,0.763362787833909,0.7957005605352857,0.495262232309187,0.021015176183303237,0.7678386156628961,0.7727796246556892,-0.06482569721171545,0.6846924921264188,0.29197208785941053,-0.07433077132378992,0.7897535009610337,-0.2526419025511967,0.07536320604099837,0.5978644590866934,-0.031313345323195726,-0.08461368801524902,0.7897347533750031,0.7226740655316761,0.7125067923512162,0.6408387311767338,0.7994829128517573,0.7362154484872262,0.6926558490766971,0.7267301754772244,0.7419685985948825,-0.06698852505510529,-0.03751971918725766,0.7955573112566966,-0.14301404382132846,0.7873177147847394,0.7770674395277322,-0.0728736804006868,-0.07719514938963015,0.523346302056859,-0.010837144327627,0.4378702576340092,-0.07661646085566229,0.43101596655670216,0.044924089839831004,0.4655863772226498,0.03854519340211527,-0.03751971918725766,0.10055917247988723,0.495262232309187,0.02012505706813257,-0.11374253367252932,0.14301404382190488,0.43101596655670216,0.10276964579676595,0.7737086574831477,-0.0032441689076473986,0.0032005187861405627,-0.06960047206870447,-0.013651895321396717,-0.008379751862588132,0.011879255014211026,-0.01111643377998108,0.8622930209297847
category_demand_std,0.7982264038822137,0.9849670656583731,1.0,0.81805035906792,0.8171458111800484,0.9655678811156511,0.35308107191772675,0.8180280276493153,0.6611165774793089,0.5182893620621805,-0.0002853630825589753,0.9892313516426241,0.7668480890504509,0.3178419633724353,0.7655477774714562,-0.14023876971522525,0.7840967304615265,-0.16210641251099725,-0.07696168428965884,-0.04864791339186507,-0.021632495120523003,0.8178117846546659,0.2854837646264444,0.4342278112528994,0.7451232756926814,0.717099722450269,-0.12651866787965185,0.7505410326488994,0.8171458111800484,0.35308107191772675,-0.17059209508056,-0.11463399626882807,-0.02305764142137861,-0.06140727332012867,0.7765733914480741,-0.1613365695851144,0.07673355897937184,0.021573749893479564,0.002501461059713201,0.0006377784042658358,-0.04997535829717732,-0.24091692881254048,0.745088269225275,0.7801274496780672,0.5061153663677438,0.019334422318974018,0.7490942666206964,0.7484438614172497,-0.05759703323644077,0.6835974873590942,0.3026171265807072,-0.06739232303025906,0.771253544571764,-0.23636665594282089,0.08837720324859333,0.5921350883151848,-0.023733791935985637,-0.0779693864261234,0.7750585790861423,0.7208329908234216,0.7133702389545328,0.6199565168738485,0.7839514931341459,0.7368794478202856,0.6698013372420424,0.7203187013234816,0.7435323727291614,-0.05373884575329587,-0.03268381256096784,0.7791090166932735,-0.14977271418984453,0.7709896253888954,0.7631344121022801,-0.061545404825898334,-0.0687332767006538,0.5007608478844513,-0.011432849427420306,0.4291139710044856,-0.06718224319555259,0.4312170187642908,0.05349919808838603,0.4449717914119916,0.038118012210461405,-0.03268381256096784,0.1058151261561632,0.5061153663677438,0.020433341057175643,-0.10508383836467187,0.14977271419026303,0.4312170187642908,0.10800915100495141,0.758776323094989,-0.0027924369689511326,0.0033833660992147515,-0.06846554203054321,-0.013471816244244952,-0.00814842037903714,0.011443935458785573,-0.010883187723490147,0.8493568415635454
demand,0.9843939346049778,0.8317621452039107,0.81805035906792,1.0,0.995800990321488,0.8271096488720644,0.4498146816615306,0.9708436336562908,0.7471202792217256,0.5966146494807465,0.2858484378977007,0.8178008297275002,0.8779064637784199,0.38772022198239525,0.8428177276344344,-0.13474933586143875,0.9425394740244902,-0.15427243202625654,-0.07048239790927595,0.0021878529719148022,-0.052369950554222326,0.9236250782958147,0.2797983842207696,0.4107235615916899,0.8850139177768502,0.8931367711311735,-0.10039476543090381,0.9255507004472562,0.995800990321488,0.4498146816615304,-0.16817238432998,-0.01647811324363836,-0.026435822162714766,-0.15192552054894795,0.9333878080425073,-0.15314665544011072,0.018536579461113315,-0.00012663108643966322,-0.03315918603957027,0.011921452703119367,-0.013053605035757358,-0.16416992485186854,0.9258118700316018,0.948501461343518,0.7644074063961466,-0.05822035128582933,0.9266025024133535,0.9143287181930504,-0.03235344518038287,0.8457227757761329,0.37912626410715067,-0.059348257777881705,0.9414754911412192,-0.21001426644017332,0.04218938548283284,0.7875905639298197,0.03396111406165608,-0.08940584923116333,0.9354375688551363,0.8837175229537445,0.8722159924991916,0.8271750793512963,0.9488966105548985,0.8918634332191969,0.8806499904819695,0.8712400516645317,0.8944694503196658,-0.05356201305705877,-0.040820764588592115,0.9477388267401518,-0.11857732642712848,0.9423946965672424,0.9217655797576689,-0.061283844570577756,-0.06254748306995415,0.6699451234306579,0.016939889962965173,0.6023059922093097,-0.0630661288988878,0.4239123879084092,0.16411381844077094,0.6252232338389418,-0.05258507080983485,-0.040820764588592115,0.20210068954407742,0.7644074063961466,0.0015402739053684367,-0.09423777908628943,0.11857732643199037,0.4239123879084092,0.20831963495554845,0.9152596420265506,0.0016729233016595628,0.0068934101091197185,0.16758889197110918,0.06906277865587251,0.02110341476702299,0.0035131755493989845,-0.016556174968113267,0.9448008629828204
unique_orders,0.9768922679035935,0.8258340362469622,0.8171458111800484,0.995800990321488,1.0,0.8207962286799318,0.44120962501492106,0.9694050646173703,0.7381763046117181,0.6019818489021858,0.2877454300154243,0.8117803688042895,0.8850198096405497,0.38726575911696737,0.8375813932947221,-0.1365565727023933,0.9443490189814145,-0.15520080117540608,-0.07121085834432989,0.003866377229111229,-0.05501548741250983,0.9217682818589065,0.25928822585750966,0.4221732292995165,0.8989040348480317,0.8932055482061787,-0.10618705722025701,0.9259566594060613,1.0,0.4412096250149217,-0.16917131255530826,-0.016807590092618934,-0.0256124805295899,-0.144739813985005,0.9437176794782541,-0.15302122826302322,0.01475620402528576,-0.0016329518107082472,-0.03373926458823358,0.01129852959404965,-0.010589175713692446,-0.16411947763010906,0.9285594949872352,0.9496248379037978,0.7682090692598468,-0.06343957816352694,0.9271258134566467,0.9131755003868295,-0.030030879672838108,0.8578837577837153,0.3734274765181143,-0.057247310594072585,0.9419303330074196,-0.20786436309919037,0.04980219905188726,0.7991971655908933,0.03791073017526695,-0.0873710698101244,0.9342394580010306,0.8969998502045265,0.8848563909958668,0.8270433419628297,0.9502849634739271,0.9051306760585647,0.8825033146944854,0.8833256603262093,0.9079758418547337,-0.050817744656617946,-0.04247171114923202,0.9487917650005749,-0.1253691913924151,0.9431660461162906,0.9199264845960814,-0.05917590367553044,-0.06052534691142091,0.6723927721169051,0.01917125531946725,0.6136266875840534,-0.06099183307442151,0.429623543368009,0.17471797785358606,0.6258262861863989,-0.05601357442501433,-0.04247171114923202,0.18852231508663153,0.7682090692598468,-0.00032367502040108674,-0.09092841745586368,0.1253691913960703,0.429623543368009,0.19502321913088863,0.9130300231158572,0.00373507331146829,0.005956408226782134,0.1739694500469318,0.06669892776703437,0.02113049318065868,0.0032369466905798456,-0.01781856536259738,0.943148539628126
category_demand_median,0.8071884800149896,0.9932051244691853,0.9655678811156511,0.8271096488720644,0.8207962286799318,1.0,0.33968223079532667,0.8440548399696121,0.6598798008410417,0.5254859446832054,0.0036643888552581206,0.9651752522617566,0.7625829420672622,0.3014183338500972,0.7615932424626211,-0.14144911617620784,0.7952238673682802,-0.16750732648592945,-0.07470554417976247,-0.0501322859372894,-0.01693415342321568,0.8228036274286497,0.2866670454083972,0.4064569919138261,0.7414707333637037,0.7324033952831394,-0.1273966470339429,0.7638273483389552,0.8207962286799318,0.3396822307953257,-0.1808558184153646,-0.13471256283206276,-0.022867737794461718,-0.040470468432156716,0.7704763640001326,-0.17719431969225058,0.07830433986585039,0.02147670167198187,0.0018097987564239773,2.3343605125064643e-05,-0.05491538757691969,-0.24534652608765398,0.7623688193454959,0.7925293377382071,0.48494836038409245,0.02025870167309095,0.7661937306123688,0.7724634365485676,-0.06232193830598216,0.684813033289385,0.27739144510564084,-0.07155846930204095,0.7876574620811699,-0.2485754118823859,0.07303543966340147,0.5999651800069417,-0.02980851533907106,-0.08156676908472785,0.786046136021254,0.722978521232132,0.7121070875807504,0.6418217883588839,0.7961737201708106,0.7356568481439157,0.6947086219292131,0.7278404441804012,0.7410423605775107,-0.06394669356624881,-0.034811652059326695,0.7926767834420527,-0.14112942168366888,0.7845924320654079,0.7729302742285703,-0.06994867300401533,-0.07433833128551463,0.5240007529205961,-0.01005744960758613,0.43768325035664,-0.07371131558756751,0.4239203731997245,0.046189621237591356,0.4656626105583339,0.03805006283883188,-0.034811652059326695,0.09736337416604121,0.48494836038409245,0.019653408770309258,-0.10966355254446872,0.1411294216830542,0.4239203731997245,0.09953940823855295,0.7695301382576999,-0.0034848728766593523,0.0030174736629504984,-0.0685501303279396,-0.013464962709169989,-0.008306717494844103,0.012125988761096109,-0.010960642109125776,0.8564639115471183
demand_momentum_3m,0.41934428479451574,0.34693490640559316,0.35308107191772675,0.4498146816615306,0.44120962501492106,0.33968223079532667,1.0,0.39056245100123926,0.23607342593349565,0.38139299941118665,0.20186691400647067,0.33874384569768345,0.287037630284405,0.8184858592957944,0.2191922172987882,-0.059429451807432275,0.26867479899933006,-0.037055544045753654,-0.03233192534100884,0.010953982718678434,-0.012082744423621002,0.2478590722051246,0.14508074338361054,0.12298190875128089,0.2700541327354543,0.008762649106923042,-0.07332306432579148,0.2054624990844174,0.44120962501492106,1.0000000000000009,-0.04069493441120957,-0.01919115929735142,-0.01012838922918572,-0.12296889444565179,0.4292366905468073,-0.030359904490030298,0.216258714100216,0.08806380335026727,-0.02620205020959389,0.03160648339702164,0.02025277561068975,-0.07175855486954985,0.13790161566564085,0.241125948442232,0.31744880984916796,0.02256861908782634,0.13395483001251707,0.12396122898142026,0.0019055212582505256,0.04194343700133188,0.2265040590035358,-0.019893891543110487,0.1745086485328526,-0.07655922234254109,0.008624785761697252,0.08445195907330731,-0.016064527587558795,-0.035097801708075506,0.1867416020402089,0.15427058602178512,0.21601623129338401,0.06686013342760726,0.2398421486214474,0.18378662130148518,0.10324867672473155,0.1420937909738909,0.24769893129282433,-0.0065406293540059305,-0.007224407781956194,0.20840282447330025,-0.05628013502032107,0.16783489607490595,0.16085602233355364,-0.010466358134892322,-0.016296385954848384,-0.08238897019775485,0.0116921767302812,-0.10789160624575014,-0.01268542415739423,0.18265145266588273,-0.03624999975681983,-0.10911692499769794,-0.03526996587215999,-0.007224407781956194,0.2184240641530196,0.31744880984916796,0.08093808319862068,-0.03443989409119041,0.0562801350180319,0.18265145266588273,0.215662297430338,0.14608293153359395,0.01528354291538887,0.02516336114302326,-0.1089564022818845,0.1414512326444442,0.019794101655933205,0.0375091257871764,-0.014445899403444373,0.36460667344672504
unique_products,0.9608309231647533,0.8427398965468134,0.8180280276493153,0.9708436336562908,0.9694050646173703,0.8440548399696121,0.39056245100123926,1.0,0.7064574009256499,0.5386594369539597,0.25088479103902234,0.815328132703769,0.9156232991307809,0.3475840161814596,0.8155930899917568,-0.1426662283772105,0.9315483533403462,-0.16008888331727048,-0.07146790772703027,-0.00421010823551736,-0.05187366173659183,0.9097959824227841,0.2729783803383485,0.409943508471493,0.8645856647477511,0.8888327876893207,-0.10146081564372317,0.9173667432498089,0.9694050646173703,0.3905624510012392,-0.17427825349266823,-0.03149909402248168,-0.02772756816984381,-0.05040146859512602,0.8987409913463307,-0.16175297899482113,0.02280127803764531,-0.013974350744783837,-0.022172688328847275,0.021511796385726603,-0.02002521264982936,-0.1683127214121071,0.9270469289137315,0.938738059229721,0.7103672692736042,-0.061181421766710764,0.9238228173605327,0.9172530510394374,-0.039398588565659705,0.827663319305432,0.2809771803686567,-0.06445668030847639,0.9365674673839218,-0.22776082385168622,0.04848266717939172,0.7691587467117095,0.028450578657315883,-0.09330549898838823,0.9204641728615324,0.8657264221558091,0.8521291506534422,0.82706785410965,0.9390516696411805,0.8718372567040071,0.8844485580359057,0.8549838737510436,0.8738290234387964,-0.0637192866529153,-0.04713716513085669,0.9396184465209562,-0.12376757906536831,0.934380270491271,0.9077697549115358,-0.0692645610376599,-0.0691351389332101,0.685789713438544,0.005333999724288218,0.5925751702430939,-0.07024948071803377,0.4357670530503782,0.1514044062212083,0.6369802865084532,-0.05011567092140405,-0.04713716513085669,0.18584146571257826,0.7103672692736042,-0.00265102770620737,-0.10694672377508915,0.12376757907047306,0.4357670530503782,0.19206261532220054,0.9034249744501821,0.005113868200673819,0.0169678189741656,0.15982561467454368,0.06052066744162512,0.015094209493177649,-0.014604889359282508,-0.011242486282573712,0.9370286597345391
demand_std_3,0.7348590020319301,0.6674662107314453,0.6611165774793089,0.7471202792217256,0.7381763046117181,0.6598798008410417,0.23607342593349565,0.7064574009256499,1.0,0.4906819346933436,0.19690875234766367,0.6862767782930014,0.6473573054037404,0.19037106436350826,0.8873685847396194,-0.11275860372823718,0.8013367136979257,-0.1182270996984367,-0.06086721947925509,-0.05484550842907813,-0.06054149099656059,0.8329180320542284,0.24797862739209714,0.3242952223645206,0.7253042255011006,0.7182470693684485,-0.06907636685049898,0.7620748477323598,0.7381763046117181,0.23607342593349576,-0.12656650356182705,0.06636861515895043,-0.023571673630094676,-0.13624296087102136,0.67381491452388,-0.1159603521302322,0.052507013858689035,0.038223630851705166,-0.027706227999404018,-0.03687299164923361,0.00572654842035636,-0.13578818526447264,0.6759040343567616,0.7938168301183102,0.6531233617027853,-0.09759358258571542,0.7431993159887217,0.7253956684547403,-0.01592209991499158,0.6616612259644238,0.3498404032902723,-0.04931001072547562,0.7707703722281718,-0.17777006683362795,0.033947260731703,0.5715901913322293,0.028271484801612123,-0.07474754967224954,0.8535342826501409,0.6906989116012934,0.6913778037128397,0.6099045828177663,0.7977448172279439,0.7122950663490721,0.6480058926085821,0.6791300735223864,0.7210336527760013,-0.037759547215434106,-0.030590914056806303,0.788009615873807,-0.09731064134223152,0.7791251197220954,0.8262172944119107,-0.04572904529225401,-0.05014615819607695,0.48103542343121897,0.09370810297275026,0.44807367947142496,-0.04899143709053404,0.37632712216157016,0.17324232268539877,0.46046456350029735,-0.08267255830578976,-0.030590914056806303,0.1351577193361276,0.6531233617027853,-0.0042102381620667175,-0.07921091681457494,0.0973106413491944,0.37632712216157016,0.14169269530783177,0.814860843718593,0.07558862505833058,-0.05474703919135915,0.15782784119021817,-0.039802958887345787,-0.01892339917846119,0.06789124611466868,-0.03937766171304175,0.7386185281957866
seller_concentration,0.5840812510135338,0.510764836208223,0.5182893620621805,0.5966146494807465,0.6019818489021858,0.5254859446832054,0.38139299941118665,0.5386594369539597,0.4906819346933436,1.0,0.38261427197721165,0.5162463550427074,0.3431710049722734,0.36065569160727945,0.5479581040914198,-0.059548023952757385,0.5394657331797955,0.03800435504076726,-0.09535226363584755,-0.0036967863986881295,-0.0368769373737552,0.57171713419573,0.3279460150576091,0.2936677747792043,0.5684852337212891,0.47365148825084463,-0.016811299697267804,0.510504944945043,0.6019818489021856,0.38139299941118704,0.05478337931920392,0.08180044063419507,-0.02491003718652751,-0.269544705845478,0.6316947490186055,0.07597656448141017,0.1265807954215117,0.0017494112484247155,-0.08414779696923075,0.006237699058570107,0.17662073384798913,-0.09919772310797159,0.4924482271837225,0.5332575306321125,0.40510087732891203,0.04909742070863978,0.49181633007647313,0.47866238314827486,0.21528157267001694,0.5061208818540183,0.6068328531106427,0.12494285745904131,0.513593449038853,-0.014083361610855145,0.059017008588232396,0.42912766075720865,0.1316678236602493,0.014813743604455273,0.5332480933211142,0.5345504159332424,0.5367607783004794,0.39621690274151106,0.5356640807972208,0.5531909483167323,0.42605181960270405,0.5319044944210549,0.5628873114346967,0.2099571387418533,0.11276069484534008,0.5272587207744244,-0.1524365209145905,0.5205857917453494,0.5206507078254101,0.19406680402500182,0.16033300473646225,0.2704304026851066,0.01848526112879701,0.2735950480125133,0.17259357514868004,0.5493315103759726,0.14502298614275447,0.2421397469639932,-0.05638639404822073,0.11276069484534008,0.14296633771869488,0.40510087732891203,0.002448848426302705,0.11130749288672576,0.15243652093788881,0.5493315103759726,0.14669425856949456,0.5133619261974457,0.016668497486341964,-0.003652494418130549,0.10315246131981502,0.0506828556196894,0.024436157672276224,0.008835963184370497,0.004698801276434471,0.5577977844189839
