feature,corr_with_target
demand,0.9448008629828204
sales_ma_2,0.8754850211170663
demand_lag_3,0.86951286938208
unique_sellers,0.8632805454984063
category_demand_mean,0.8622930209297847
demand_std_6,0.8294113130078837
demand_lag_6,0.7838835492340968
demand_std_3,0.7386185281957866
demand_momentum_12m,0.7022415818417685
demand_min_12,0.6293722442136542
seller_concentration,0.5577977844189839
conversion_rate,0.42623550490017226
price_max,0.41262357319463067
demand_trend_3m,0.364606673446726
avg_items_per_product,0.3417429967734996
sales_momentum_3m,0.31552788574903007
items_per_order,0.27288256696510915
category_avg_price_std,-0.21738713801377924
demand_vs_category_avg,0.20566534381637167
price_volatility_6m,-0.1738107324733576
price_std_6,-0.17172750949122434
price_std_3,-0.15928893252006376
price_lag_12,0.1446779719881385
seasonal_ratio_12m,0.14239702042322208
price_min,-0.13397176881851286
year,0.12377074091429123
profit_margin_estimate,0.1229403173820805
product_diversity_index,-0.11432231178573564
avg_freight,-0.10571996263412589
category_avg_price_mean,-0.09773916847613483
avg_price,-0.08797373458618951
price_growth_1m,-0.07089892125379607
price_ma_3,-0.0637197928992543
demand_growth_1m,-0.05240169968855517
price_std,0.04786096726380055
sales_growth_1m,-0.04761441239089341
sales_per_order,-0.042783941038097885
price_lag_2,-0.037788910966747795
price_lag_6,0.030015979645271702
demand_volatility_6m,-0.028876457239844847
price_vs_category_avg,-0.0274816812582659
is_august,-0.02724265571091022
price_to_freight_ratio,-0.026294804478743394
month_num,0.025932168077882258
quarter_cos,0.024455886914615498
price_lag_3,-0.02083100743809073
demand_acceleration,-0.020800267938653874
month_cos,0.02052470224692189
demand_growth_3m,0.019494744091282462
is_may,-0.014677873117001371
is_october,0.01267465836132179
is_end_quarter,0.009664776293547398
quarter_sin,0.004128248747686371
is_november,0.002119833929092845
month_sin,0.0017195005376773845
