product_category_name,registros,promedio,std,min,max,mediana
cama_mesa_banho,20,547.25,238.79,46.0,961.0,557.5
beleza_saude,21,450.57,258.56,40.0,875.0,376.0
esporte_lazer,20,420.7,177.66,74.0,732.0,456.5
moveis_decoracao,20,404.75,155.75,177.0,767.0,390.0
informatica_acessorios,20,381.6,228.44,31.0,971.0,330.5
utilidades_domesticas,20,339.15,168.48,28.0,618.0,311.5
relogios_presentes,20,292.75,180.4,11.0,625.0,316.0
telefonia,20,221.1,93.47,22.0,371.0,218.5
ferramentas_jardim,20,213.15,111.03,54.0,547.0,203.0
automotivo,20,206.6,112.58,31.0,370.0,210.5
brinquedos,20,200.3,108.59,41.0,485.0,186.0
cool_stuff,20,185.55,76.16,37.0,297.0,201.0
perfumaria,20,165.55,64.53,34.0,304.0,180.0
bebes,20,148.55,71.59,32.0,239.0,154.5
eletronicos,20,136.4,103.11,11.0,348.0,106.5
papelaria,19,129.05,87.38,19.0,385.0,130.0
pet_shop,20,96.0,49.36,14.0,198.0,87.0
fashion_bolsas_e_acessorios,21,94.14,42.36,1.0,193.0,102.0
moveis_escritorio,20,83.1,43.55,8.0,200.0,75.0
malas_acessorios,19,56.42,21.41,20.0,126.0,56.0
consoles_games,20,54.1,29.02,17.0,128.0,50.0
construcao_ferramentas_construcao,17,53.71,51.09,1.0,162.0,47.0
eletrodomesticos,18,41.5,27.78,7.0,104.0,39.5
eletroportateis,19,34.32,12.32,18.0,66.0,31.0
instrumentos_musicais,19,34.21,16.41,9.0,61.0,36.0
casa_construcao,18,32.89,26.36,1.0,79.0,38.0
livros_interesse_geral,19,28.16,13.36,8.0,50.0,27.0
moveis_sala,19,25.53,10.76,11.0,54.0,23.0
alimentos,20,24.9,26.85,1.0,115.0,17.0
casa_conforto,18,23.67,9.62,13.0,45.0,21.0
construcao_ferramentas_iluminacao,13,23.08,22.65,1.0,62.0,13.0
bebidas,16,22.25,17.99,1.0,54.0,19.5
audio,19,18.95,9.66,5.0,36.0,17.0
pcs,12,16.5,10.94,1.0,40.0,13.0
alimentos_bebidas,17,15.59,8.01,2.0,33.0,17.0
market_place,20,14.7,6.09,4.0,28.0,14.5
livros_tecnicos,18,14.56,14.23,1.0,55.0,8.5
industria_comercio_e_negocios,18,14.5,15.91,1.0,53.0,7.5
moveis_cozinha_area_de_servico_jantar_e_jardim,19,14.37,8.82,2.0,33.0,13.0
climatizacao,20,14.05,6.98,3.0,29.0,14.5
construcao_ferramentas_seguranca,13,14.0,7.65,1.0,25.0,14.0
construcao_ferramentas_jardim,17,13.53,7.01,4.0,24.0,11.0
fashion_calcados,20,12.8,6.69,1.0,23.0,12.0
telefonia_fixa,20,12.5,5.41,5.0,22.0,11.0
eletrodomesticos_2,19,11.79,7.36,1.0,23.0,12.0
sinalizacao_e_seguranca,17,11.53,10.57,1.0,36.0,8.0
artes,17,11.35,10.75,1.0,34.0,6.0
agro_industria_e_comercio,18,11.28,8.94,1.0,27.0,9.0
artigos_de_natal,15,9.93,6.8,1.0,24.0,10.0
construcao_ferramentas_ferramentas,13,7.85,4.63,2.0,17.0,6.0
portateis_casa_forno_e_cafe,10,7.2,6.07,1.0,17.0,6.0
fashion_underwear_e_moda_praia,19,6.58,4.17,1.0,16.0,6.0
fashion_roupa_masculina,19,6.53,4.29,1.0,16.0,6.0
portateis_cozinha_e_preparadores_de_alimentos,2,6.0,2.83,4.0,8.0,6.0
moveis_quarto,18,5.28,3.2,1.0,12.0,4.5
cine_foto,14,4.93,5.11,1.0,17.0,2.0
tablets_impressao_imagem,16,4.69,3.57,1.0,13.0,4.0
artes_e_artesanato,5,4.6,4.98,1.0,11.0,1.0
livros_importados,13,4.31,2.87,1.0,10.0,3.0
fraldas_higiene,9,4.0,1.5,2.0,7.0,4.0
artigos_de_festas,11,3.73,3.64,2.0,14.0,2.0
moveis_colchao_e_estofado,10,3.6,2.91,1.0,9.0,2.5
flores,8,3.38,2.83,1.0,10.0,2.5
dvds_blu_ray,19,3.11,1.91,1.0,7.0,3.0
fashion_roupa_feminina,15,2.93,1.28,1.0,5.0,3.0
musica,13,2.77,1.74,1.0,6.0,2.0
fashion_esporte,13,2.15,1.57,1.0,5.0,1.0
casa_conforto_2,13,2.15,1.28,1.0,5.0,2.0
cds_dvds_musicais,5,1.8,1.1,1.0,3.0,1.0
la_cuisine,8,1.62,1.06,1.0,4.0,1.0
fashion_roupa_infanto_juvenil,5,1.2,0.45,1.0,2.0,1.0
pc_gamer,5,1.2,0.45,1.0,2.0,1.0
seguros_e_servicos,1,1.0,,1.0,1.0,1.0
