product_category_name,year_month,demand,demand_next_month
agro_industria_e_comercio,2017-01,3,7.0
agro_industria_e_comercio,2017-02,7,2.0
agro_industria_e_comercio,2017-03,2,4.0
agro_industria_e_comercio,2017-05,4,1.0
agro_industria_e_comercio,2017-06,1,1.0
agro_industria_e_comercio,2017-07,1,4.0
agro_industria_e_comercio,2017-08,4,4.0
agro_industria_e_comercio,2017-09,4,5.0
agro_industria_e_comercio,2017-10,5,19.0
agro_industria_e_comercio,2017-11,19,11.0
agro_industria_e_comercio,2017-12,11,18.0
agro_industria_e_comercio,2018-01,18,26.0
agro_industria_e_comercio,2018-02,26,26.0
agro_industria_e_comercio,2018-03,26,12.0
agro_industria_e_comercio,2018-04,12,8.0
agro_industria_e_comercio,2018-05,8,10.0
agro_industria_e_comercio,2018-06,10,27.0
agro_industria_e_comercio,2018-07,27,18.0
alimentos,2016-10,1,2.0
alimentos,2017-01,2,8.0
alimentos,2017-02,8,21.0
alimentos,2017-03,21,8.0
alimentos,2017-04,8,3.0
alimentos,2017-05,3,1.0
alimentos,2017-06,1,7.0
alimentos,2017-07,7,8.0
alimentos,2017-08,8,17.0
alimentos,2017-09,17,17.0
alimentos,2017-10,17,14.0
alimentos,2017-11,14,13.0
alimentos,2017-12,13,19.0
alimentos,2018-01,19,38.0
alimentos,2018-02,38,35.0
alimentos,2018-03,35,40.0
alimentos,2018-04,40,44.0
alimentos,2018-05,44,24.0
alimentos,2018-06,24,64.0
alimentos,2018-07,64,115.0
alimentos_bebidas,2017-03,4,3.0
alimentos_bebidas,2017-04,3,12.0
alimentos_bebidas,2017-05,12,2.0
alimentos_bebidas,2017-06,2,8.0
alimentos_bebidas,2017-07,8,15.0
alimentos_bebidas,2017-08,15,9.0
alimentos_bebidas,2017-09,9,17.0
alimentos_bebidas,2017-10,17,33.0
alimentos_bebidas,2017-11,33,21.0
alimentos_bebidas,2017-12,21,11.0
alimentos_bebidas,2018-01,11,23.0
alimentos_bebidas,2018-02,23,19.0
alimentos_bebidas,2018-03,19,18.0
alimentos_bebidas,2018-04,18,25.0
alimentos_bebidas,2018-05,25,11.0
alimentos_bebidas,2018-06,11,17.0
alimentos_bebidas,2018-07,17,21.0
artes,2017-03,4,1.0
artes,2017-04,1,6.0
artes,2017-05,6,4.0
artes,2017-06,4,3.0
artes,2017-07,3,4.0
artes,2017-08,4,3.0
artes,2017-09,3,3.0
artes,2017-10,3,1.0
artes,2017-11,1,3.0
artes,2017-12,3,19.0
artes,2018-01,19,12.0
artes,2018-02,12,7.0
artes,2018-03,7,26.0
artes,2018-04,26,34.0
artes,2018-05,34,28.0
artes,2018-06,28,21.0
artes,2018-07,21,18.0
artes_e_artesanato,2017-05,1,1.0
artes_e_artesanato,2017-07,1,1.0
artes_e_artesanato,2018-04,1,1.0
artes_e_artesanato,2018-05,1,11.0
artes_e_artesanato,2018-07,11,9.0
artigos_de_festas,2017-07,1,2.0
artigos_de_festas,2017-09,2,2.0
artigos_de_festas,2017-10,2,3.0
artigos_de_festas,2017-11,3,2.0
artigos_de_festas,2017-12,2,2.0
artigos_de_festas,2018-01,2,6.0
artigos_de_festas,2018-03,6,2.0
artigos_de_festas,2018-04,2,4.0
artigos_de_festas,2018-05,4,2.0
artigos_de_festas,2018-06,2,2.0
artigos_de_festas,2018-07,2,14.0
artigos_de_natal,2017-04,1,3.0
artigos_de_natal,2017-06,3,2.0
artigos_de_natal,2017-07,2,1.0
artigos_de_natal,2017-08,1,4.0
artigos_de_natal,2017-09,4,12.0
artigos_de_natal,2017-10,12,22.0
artigos_de_natal,2017-11,22,16.0
artigos_de_natal,2017-12,16,10.0
artigos_de_natal,2018-01,10,24.0
artigos_de_natal,2018-02,24,12.0
artigos_de_natal,2018-03,12,12.0
artigos_de_natal,2018-04,12,6.0
artigos_de_natal,2018-05,6,7.0
artigos_de_natal,2018-06,7,8.0
artigos_de_natal,2018-07,8,10.0
audio,2016-10,2,5.0
audio,2017-02,5,14.0
audio,2017-03,14,11.0
audio,2017-04,11,17.0
audio,2017-05,17,11.0
audio,2017-06,11,6.0
audio,2017-07,6,7.0
audio,2017-08,7,10.0
audio,2017-09,10,31.0
audio,2017-10,31,36.0
audio,2017-11,36,17.0
audio,2017-12,17,26.0
audio,2018-01,26,15.0
audio,2018-02,15,34.0
audio,2018-03,34,31.0
audio,2018-04,31,21.0
audio,2018-05,21,20.0
audio,2018-06,20,22.0
audio,2018-07,22,26.0
automotivo,2016-10,8,31.0
automotivo,2017-01,31,83.0
automotivo,2017-02,83,78.0
automotivo,2017-03,78,84.0
automotivo,2017-04,84,113.0
automotivo,2017-05,113,110.0
automotivo,2017-06,110,114.0
automotivo,2017-07,114,161.0
automotivo,2017-08,161,107.0
automotivo,2017-09,107,148.0
automotivo,2017-10,148,260.0
automotivo,2017-11,260,263.0
automotivo,2017-12,263,267.0
automotivo,2018-01,267,315.0
automotivo,2018-02,315,336.0
automotivo,2018-03,336,348.0
automotivo,2018-04,348,308.0
automotivo,2018-05,308,295.0
automotivo,2018-06,295,341.0
automotivo,2018-07,341,370.0
bebes,2016-10,11,40.0
bebes,2017-01,40,32.0
bebes,2017-02,32,42.0
bebes,2017-03,42,50.0
bebes,2017-04,50,102.0
bebes,2017-05,102,78.0
bebes,2017-06,78,125.0
bebes,2017-07,125,127.0
bebes,2017-08,127,170.0
bebes,2017-09,170,138.0
bebes,2017-10,138,197.0
bebes,2017-11,197,139.0
bebes,2017-12,139,219.0
bebes,2018-01,219,172.0
bebes,2018-02,172,215.0
bebes,2018-03,215,237.0
bebes,2018-04,237,239.0
bebes,2018-05,239,223.0
bebes,2018-06,223,214.0
bebes,2018-07,214,212.0
bebidas,2017-03,5,1.0
bebidas,2017-05,1,1.0
bebidas,2017-06,1,3.0
bebidas,2017-07,3,2.0
bebidas,2017-08,2,6.0
bebidas,2017-09,6,12.0
bebidas,2017-10,12,18.0
bebidas,2017-11,18,34.0
bebidas,2017-12,34,50.0
bebidas,2018-01,50,31.0
bebidas,2018-02,31,21.0
bebidas,2018-03,21,54.0
bebidas,2018-04,54,47.0
bebidas,2018-05,47,33.0
bebidas,2018-06,33,16.0
bebidas,2018-07,16,27.0
beleza_saude,2016-09,3,40.0
beleza_saude,2016-10,40,82.0
beleza_saude,2017-01,82,154.0
beleza_saude,2017-02,154,208.0
beleza_saude,2017-03,208,180.0
beleza_saude,2017-04,180,284.0
beleza_saude,2017-05,284,254.0
beleza_saude,2017-06,254,308.0
beleza_saude,2017-07,308,352.0
beleza_saude,2017-08,352,376.0
beleza_saude,2017-09,376,350.0
beleza_saude,2017-10,350,573.0
beleza_saude,2017-11,573,460.0
beleza_saude,2017-12,460,619.0
beleza_saude,2018-01,619,650.0
beleza_saude,2018-02,650,656.0
beleza_saude,2018-03,656,685.0
beleza_saude,2018-04,685,751.0
beleza_saude,2018-05,751,875.0
beleza_saude,2018-06,875,770.0
beleza_saude,2018-07,770,835.0
brinquedos,2016-10,24,41.0
brinquedos,2017-01,41,66.0
brinquedos,2017-02,66,102.0
brinquedos,2017-03,102,113.0
brinquedos,2017-04,113,196.0
brinquedos,2017-05,196,156.0
brinquedos,2017-06,156,203.0
brinquedos,2017-07,203,182.0
brinquedos,2017-08,182,289.0
brinquedos,2017-09,289,283.0
brinquedos,2017-10,283,485.0
brinquedos,2017-11,485,436.0
brinquedos,2017-12,436,161.0
brinquedos,2018-01,161,139.0
brinquedos,2018-02,139,225.0
brinquedos,2018-03,225,202.0
brinquedos,2018-04,202,218.0
brinquedos,2018-05,218,190.0
brinquedos,2018-06,190,154.0
brinquedos,2018-07,154,165.0
cama_mesa_banho,2016-10,8,46.0
cama_mesa_banho,2017-01,46,157.0
cama_mesa_banho,2017-02,157,279.0
cama_mesa_banho,2017-03,279,271.0
cama_mesa_banho,2017-04,271,361.0
cama_mesa_banho,2017-05,361,369.0
cama_mesa_banho,2017-06,369,569.0
cama_mesa_banho,2017-07,569,506.0
cama_mesa_banho,2017-08,506,528.0
cama_mesa_banho,2017-09,528,542.0
cama_mesa_banho,2017-10,542,961.0
cama_mesa_banho,2017-11,961,546.0
cama_mesa_banho,2017-12,546,836.0
cama_mesa_banho,2018-01,836,685.0
cama_mesa_banho,2018-02,685,777.0
cama_mesa_banho,2018-03,777,736.0
cama_mesa_banho,2018-04,736,740.0
cama_mesa_banho,2018-05,740,764.0
cama_mesa_banho,2018-06,764,617.0
cama_mesa_banho,2018-07,617,655.0
casa_conforto,2017-02,3,13.0
casa_conforto,2017-03,13,17.0
casa_conforto,2017-04,17,35.0
casa_conforto,2017-05,35,17.0
casa_conforto,2017-06,17,43.0
casa_conforto,2017-07,43,28.0
casa_conforto,2017-08,28,33.0
casa_conforto,2017-09,33,27.0
casa_conforto,2017-10,27,45.0
