year_month,demanda_promedio,std_demanda,n_registros,n_categorias
2016-09,40.0,,1,1
2016-10,27.86,36.13,29,29
2016-12,35.0,,1,1
2017-01,42.17,54.98,42,42
2017-02,57.2,76.11,50,50
2017-03,47.85,64.81,52,52
2017-04,68.65,99.71,57,57
2017-05,58.12,90.48,59,59
2017-06,72.5,115.92,60,60
2017-07,76.97,121.87,61,61
2017-08,75.13,121.44,62,62
2017-09,80.48,127.21,64,64
2017-10,132.49,214.5,63,63
2017-11,93.18,144.14,65,65
2017-12,126.4,198.62,62,62
2018-01,112.42,194.93,66,66
2018-02,123.08,199.9,64,64
2018-03,117.23,182.06,66,66
2018-04,117.76,190.21,66,66
2018-05,109.42,182.23,64,64
2018-06,111.19,173.53,62,62
2018-07,112.81,178.86,63,63
