order_id,payment_sequential,payment_type,payment_installments,payment_value
ORD2018OCT_9721,1,debit_card,1,39.6
ORD2018OCT_3755,1,credit_card,1,111.42
ORD2018OCT_4921,1,credit_card,1,37.37
ORD2018OCT_1860,1,credit_card,1,47.96
ORD2018OCT_8263,1,boleto,1,141.88
ORD2018OCT_8930,1,credit_card,1,31.1
ORD2018OCT_6238,1,boleto,1,92.9
ORD2018OCT_3889,1,boleto,1,251.29
ORD2018OCT_2077,1,credit_card,2,62.01
ORD2018OCT_1635,1,credit_card,1,494.47
ORD2018OCT_8897,1,boleto,1,66.1
ORD2018OCT_4243,1,credit_card,3,93.5
ORD2018OCT_9289,1,credit_card,8,235.59
ORD2018OCT_5665,1,voucher,1,48.78
ORD2018OCT_2325,1,credit_card,8,87.64
ORD2018OCT_1778,1,boleto,1,17.78
ORD2018OCT_2402,1,boleto,1,114.79
ORD2018OCT_4356,1,credit_card,1,51.1
ORD2018OCT_9860,1,boleto,1,273.98
ORD2018OCT_1805,1,credit_card,8,142.97
ORD2018OCT_9383,1,credit_card,1,42.62
ORD2018OCT_4009,1,credit_card,1,158.21
ORD2018OCT_9369,1,credit_card,8,368.6
ORD2018OCT_5637,1,boleto,1,85.24
ORD2018OCT_8107,1,boleto,1,151.7
ORD2018OCT_3862,1,credit_card,9,485.51
ORD2018OCT_3671,1,credit_card,5,167.92
ORD2018OCT_6316,1,credit_card,1,54.39
ORD2018OCT_5711,1,credit_card,8,400.36
ORD2018OCT_7841,1,credit_card,1,52.38
ORD2018OCT_2144,1,credit_card,2,137.2
ORD2018OCT_4759,1,credit_card,1,115.57
ORD2018OCT_9061,1,credit_card,10,527.12
ORD2018OCT_2428,2,voucher,1,15.63
ORD2018OCT_3341,1,boleto,1,80.87
ORD2018OCT_8676,1,boleto,1,273.62
ORD2018OCT_9580,1,credit_card,8,342.18
ORD2018OCT_6665,1,boleto,1,195.0
ORD2018OCT_6601,1,credit_card,1,77.42
ORD2018OCT_3381,1,boleto,1,58.85
ORD2018OCT_5348,1,boleto,1,82.98
ORD2018OCT_7647,1,credit_card,2,259.15
ORD2018OCT_2479,1,boleto,1,41.85
ORD2018OCT_9866,1,credit_card,3,33.01
ORD2018OCT_5275,1,credit_card,1,48.51
ORD2018OCT_2258,1,credit_card,9,181.91
ORD2018OCT_4828,1,credit_card,1,88.9
ORD2018OCT_2746,1,credit_card,3,117.57
ORD2018OCT_254,1,credit_card,5,145.01
ORD2018OCT_9779,1,credit_card,1,62.78
ORD2018OCT_7874,1,boleto,1,79.05
ORD2018OCT_2581,1,boleto,1,55.13
ORD2018OCT_8089,1,credit_card,4,111.1
ORD2018OCT_5102,1,credit_card,8,643.89
ORD2018OCT_3820,1,credit_card,1,107.41
ORD2018OCT_4452,1,credit_card,2,147.55
ORD2018OCT_1714,1,credit_card,1,33.09
ORD2018OCT_362,1,boleto,1,737.85
ORD2018OCT_2294,1,boleto,1,155.12
ORD2018OCT_7639,1,credit_card,3,299.7
ORD2018OCT_1374,1,credit_card,5,553.38
ORD2018OCT_3353,1,boleto,1,84.79
ORD2018OCT_3389,1,credit_card,3,162.89
ORD2018OCT_9425,1,credit_card,1,77.2
ORD2018OCT_2403,1,credit_card,1,93.89
ORD2018OCT_1032,1,credit_card,3,176.85
ORD2018OCT_9038,1,voucher,1,219.3
ORD2018OCT_3856,1,credit_card,5,54.36
ORD2018OCT_25,1,credit_card,4,389.31
ORD2018OCT_7573,1,credit_card,5,384.45
ORD2018OCT_1098,1,credit_card,10,927.87
ORD2018OCT_1409,1,boleto,1,99.91
ORD2018OCT_1478,1,credit_card,2,96.0
ORD2018OCT_1934,1,credit_card,2,98.65
ORD2018OCT_1299,2,voucher,1,45.88
ORD2018OCT_1606,1,credit_card,1,169.53
ORD2018OCT_1406,1,credit_card,1,81.43
ORD2018OCT_6376,1,credit_card,7,116.26
ORD2018OCT_3614,1,credit_card,2,106.31
ORD2018OCT_3417,1,debit_card,1,177.13
ORD2018OCT_310,1,credit_card,9,188.29
ORD2018OCT_2221,1,credit_card,2,45.86
ORD2018OCT_4397,1,credit_card,1,61.58
ORD2018OCT_8067,10,voucher,1,0.74
ORD2018OCT_6055,1,boleto,1,45.95
ORD2018OCT_3266,1,credit_card,5,274.45
ORD2018OCT_9484,1,credit_card,5,196.14
ORD2018OCT_9463,1,credit_card,2,165.96
ORD2018OCT_5684,2,voucher,1,33.6
ORD2018OCT_5977,1,credit_card,7,400.18
ORD2018OCT_6331,1,credit_card,3,88.67
ORD2018OCT_9531,1,credit_card,1,2.3
ORD2018OCT_5798,1,boleto,1,39.59
ORD2018OCT_5080,2,voucher,1,5.09
ORD2018OCT_1658,1,credit_card,3,112.09
ORD2018OCT_6608,1,credit_card,6,214.41
ORD2018OCT_1769,1,credit_card,2,172.84
ORD2018OCT_9808,1,boleto,1,232.81
ORD2018OCT_5970,1,credit_card,2,88.89
ORD2018OCT_2533,1,boleto,1,35.84
ORD2018OCT_246,1,credit_card,2,113.55
ORD2018OCT_6874,1,credit_card,2,80.67
ORD2018OCT_1895,1,voucher,1,25.68
ORD2018OCT_4696,2,voucher,1,36.23
ORD2018OCT_2871,1,credit_card,2,138.62
ORD2018OCT_7439,1,boleto,1,59.01
ORD2018OCT_6372,1,credit_card,3,104.28
ORD2018OCT_4353,1,credit_card,10,198.5
ORD2018OCT_5076,1,credit_card,1,55.37
ORD2018OCT_4793,1,credit_card,8,105.89
ORD2018OCT_918,1,credit_card,3,342.65
ORD2018OCT_2291,1,credit_card,2,62.38
ORD2018OCT_5261,1,credit_card,6,98.72
ORD2018OCT_6029,2,voucher,1,77.42
ORD2018OCT_3365,1,credit_card,1,52.98
ORD2018OCT_6553,1,credit_card,6,182.84
